OverallQual,OverallCond,SalePrice
7,5,208500
6,8,181500
7,5,223500
7,5,140000
8,5,250000
5,5,143000
8,5,307000
7,6,200000
7,5,129900
5,6,118000
5,5,129500
9,5,345000
5,6,144000
7,5,279500
6,5,157000
7,8,132000
6,7,149000
4,5,90000
5,5,159000
5,6,139000
8,5,325300
7,7,139400
8,5,230000
5,7,129900
5,8,154000
8,5,256300
5,7,134800
8,5,306000
5,6,207500
4,6,68500
4,4,40000
5,6,149350
8,5,179900
5,5,165500
9,5,277500
8,5,309000
5,5,145000
5,6,153000
5,7,109000
4,5,82000
6,5,160000
5,6,170000
5,7,144000
5,6,130250
5,6,141000
9,5,319900
7,5,239686
8,5,249700
4,5,113000
5,7,127000
6,6,177000
6,6,114500
5,5,110000
9,5,385000
5,5,130000
6,5,180500
8,5,172500
7,5,196500
10,5,438780
5,7,124900
6,5,158000
5,7,101000
8,5,202500
7,6,140000
7,5,219500
8,5,317000
7,5,180000
7,5,226000
4,6,80000
7,4,225000
7,6,244000
4,6,129500
7,5,185000
5,7,144900
3,6,107400
4,5,91000
4,7,135750
5,5,127000
4,5,136500
5,6,110000
6,6,193500
6,5,153500
8,5,245000
5,5,126500
7,5,168500
8,5,260000
6,5,174000
6,5,164500
3,2,85000
4,5,123600
4,5,109900
5,3,98600
5,7,163500
6,6,133900
6,5,204750
6,8,185000
7,5,214000
4,5,94750
5,5,83000
4,5,128950
6,7,205000
6,5,178000
5,5,118964
7,5,198900
7,4,169500
8,5,250000
4,7,100000
5,5,115000
5,7,115000
6,6,190000
6,4,136900
7,5,180000
7,5,383970
6,5,217000
6,8,259500
6,5,176000
5,5,139000
5,5,155000
7,5,320000
6,5,163990
6,5,180000
4,5,100000
6,7,136000
6,5,153900
6,5,181000
6,8,84500
6,5,128000
5,7,87000
6,5,155000
5,7,150000
7,6,226000
6,5,244000
5,6,150750
8,5,220000
5,6,180000
7,6,174000
5,5,143000
7,5,171000
8,5,230000
6,5,231500
4,5,115000
7,5,260000
5,4,166000
7,5,204000
5,5,125000
6,5,130000
5,7,105000
7,5,222500
7,5,141000
5,4,115000
5,6,122000
8,5,372402
6,5,190000
6,7,235000
6,5,125000
6,5,79000
5,7,109500
8,5,269500
7,5,254900
7,5,320000
6,6,162500
9,5,412500
7,5,220000
4,6,103200
6,7,152000
5,7,127500
5,5,190000
8,5,325624
7,5,183500
8,6,228000
5,6,128500
6,5,215000
7,7,239000
6,5,163000
6,5,184000
6,7,243000
6,5,211000
5,5,172500
9,5,501837
5,6,100000
6,5,177000
7,6,200100
5,6,120000
7,5,200000
5,8,127000
10,9,475000
7,5,173000
5,7,135000
5,5,153337
8,5,286000
8,8,315000
7,9,184000
7,5,192000
7,5,130000
5,7,127000
6,6,148500
7,5,311872
8,4,235000
6,6,104000
8,5,274900
4,5,140000
6,6,171500
6,6,112000
6,5,149000
5,7,110000
7,5,180500
5,5,143900
4,5,141000
7,5,277000
6,7,145000
5,6,98000
6,5,186000
7,5,252678
5,5,156000
6,7,161750
5,6,134450
7,5,210000
4,4,107000
7,9,311500
7,5,167240
7,5,204900
6,5,200000
6,6,179900
4,6,97000
10,5,386250
5,5,112000
7,5,290000
6,6,106000
5,5,125000
7,5,192500
6,6,148000
8,5,403000
6,5,94500
5,6,128200
6,5,216500
6,3,89500
7,5,185500
7,7,194500
8,5,318000
6,4,113000
8,5,262500
5,9,110500
5,4,79000
6,6,120000
7,5,205000
7,5,241500
6,8,137000
6,5,140000
7,5,180000
6,7,277000
3,2,76500
8,5,235000
6,5,173000
6,7,158000
5,6,145000
7,5,230000
6,5,207500
7,5,220000
7,5,231500
5,5,97000
6,5,176000
8,5,276000
6,7,151000
5,7,130000
5,5,73000
6,6,175500
6,5,185000
5,8,179500
5,6,120500
6,7,148000
8,5,266000
7,7,241500
8,7,290000
6,6,139000
5,7,124500
7,7,205000
7,5,201000
4,5,141000
9,5,415298
7,5,192000
7,6,228500
6,5,185000
7,5,207500
8,5,244600
6,5,179200
7,5,164700
6,7,159000
4,4,88000
5,5,122000
